parameter,mean,std
Biceps femoris Imbalance (%),12.67134386,9.93246829
Elevation (cm),38.5789678,4.870799856
Takeoff Velocity (m/s),2.593533839,0.249450561
Vastus medialis Imbalance (%),12.2648072,8.423184381
